description,barcode,qty,price,amount,page
Afnan 9 Pm Men Edp 100ml,6290171002338,48,35000.0,1680000.0,1
Afnan Supremacy Pink P/F Edp 100ml,6290171002048,12,41000.0,492000.0,1
Amouage Opus XII Rose Incense Edp 100ml,701666410553,2,270000.0,540000.0,1
Amouage Interlude Man Edp 100ml NEW,701666410195,3,270000.0,810000.0,1
Amouage Beach Hut Man Edp 100ml,701666231004,3,270000.0,810000.0,1
Amouage Reflection 45 Man Ext 100ml New,701666410706,3,380000.0,1140000.0,1
Armaf The Pride Rose Oud Edp100ml,6294015180985,6,39000.0,234000.0,1
Afnan Tribute Blue Edp 100ml,6290171002109,12,45000.0,540000.0,1
Armani Si Passione Edp 100ml,3614271994844,3,147000.0,441000.0,1
Burberry Hero Parfum Intense 100ml,3616305880604,3,191000.0,573000.0,1
Burberry Her Elixir Intense Edp100ml,3616304061943,3,133000.0,399000.0,1
CK Defy Parfum 100ml,3616304183621,6,92000.0,552000.0,1
D&G The One Men Intense Edp 100ml,3423473051756,6,115000.0,690000.0,1
CD Sauvage Elixir Parfum 100ml,3348901640916,6,351000.0,2106000.0,1
D&G The One Gold Intense Men Edp 100ml,3423222026004,3,143000.0,429000.0,1
D&G Light Blue Eau Intense P/F Edp 100ml,3423473032816,6,122500.0,735000.0,1
Guerlain Oud Essentiel Edp 125ml,3346470132245,3,145000.0,435000.0,1
Guerlain Patchouli Ardent Edp 125ml,3346470140189,3,145000.0,435000.0,1
Guerlain Santal Royal Edp 125ml,3346470116375,3,145000.0,435000.0,1
E.A Provocative Woman Edp 100ml,085805004675,6,41000.0,246000.0,1
E.A Pretty Edp 100ml,085805506261,3,44000.0,132000.0,1
Giv Gentleman Boisee Edp 100ml,3274872399020,6,135000.0,810000.0,1
Giv Gentleman Intense Edt 100ml,3274872423008,3,125000.0,375000.0,1
Issey Miyake Pour Homme Intense Edt125ml,3423470486018,6,48000.0,288000.0,1
Issey Miyake Pour Homme Edt 200ml,3423470485448,6,72000.0,432000.0,1
Issey Miyake P/ H Noir Ambre Edp 100ml,3423474884957,3,68000.0,204000.0,1
Issey Miyake Wood & Wood P/H Edp 100ml,3423478509351,6,62000.0,372000.0,1
Issey Miyake Nuit P/H Parfum 125ml,3423474883950,3,61000.0,183000.0,1
Issey Miyake Nuit Men Edt 125ml,3423474874750,3,48000.0,144000.0,1
Jimmy Choo I Want Choo Le Parfum100ml,3386460141703,6,113000.0,678000.0,1
Jimmy Choo I Want Choo Edp 100ml,3386460119252,12,88000.0,1056000.0,1
Mancera Coco Vanille Edp120ml,3760265191611,6,80100.0,480600.0,1
Jimmy Choo Illicit Flow er Edt 100ml,3386460075343,3,74700.0,224100.0,2
Mancera Instant Crush Edp120ml,3760265193134,12,80100.0,961200.0,2
Mancera Red Tabacco Edp 120ml,3760265191864,12,108000.0,1296000.0,2
Mancera Red Tobacco Intense Edp 120ml,3760265194513,12,126000.0,1512000.0,2
Mancera Wild Leather Edp 120ml,024982248,3,80100.0,240300.0,2
Geoffrey Beene Grey Flannel Men Edt120ml,719346021814,24,27900.0,669600.0,2
Cerruti 1881 Pour Homme Edt 100ml,688575003659,6,43200.0,259200.0,2
Memo Cuirs Nomades Iberian LeatheEdp75ml,3700458603095,2,190950.0,381900.0,2
Memo Cuirs Nomades Irish Leather Edp75ml,3700458611519,2,190950.0,381900.0,2
Memo Cuirs Nomades African Leat Edp200ml,3700458611991,2,332500.0,665000.0,2
Mont Blanc Explorer Ultra Blue Edp 100ml,3386460121514,3,81000.0,243000.0,2
Mont Blanc Explorer Platinum Edp100ml,3386460135818,3,119700.0,359100.0,2
Mont Blanc Explorer Edp 100ml,3386460101035,12,81000.0,972000.0,2
Narciso Rodriguez Ambree Edp 90ml,3423473053958,3,82800.0,248400.0,2
Narciso Rodriguez Bleu Noir Him Edt100ml,3423478806054,3,66600.0,199800.0,2
Mont Blanc Legend Edp 100ml,3386460118125,12,63900.0,766800.0,2
Narciso Rodriguez For Her Int Edp 100ml,3423222121297,3,0.0,0.0,2
PDM Oriana Royal Essence Edp 75ml,3700578502407,3,259350.0,778050.0,2
Nishane Ani Extrait de Parfum100ml,8681008055074,6,278350.0,1670100.0,2
Nishane Favonius Extrait de Parfum100m,8683608071621,6,327750.0,1966500.0,2
Ralph Lauren Polo Blue Men Edt 125ml,3360377022928,3,81900.0,245700.0,2
P.R Phantom Men Parfum 100ml,3349668614592,3,115200.0,345600.0,2
Thomas Kosmala No4 Apres L'Amou Edp100ml,5060412110235,12,137700.0,1652400.0,2
Tom Ford Black Orchid Edp 100ml,888066000079,12,174600.0,2095200.0,2
Tom Ford Ombre Leather Parfum100ml,888066117692,12,211500.0,2538000.0,2
Versace Crystal Noir Ladies Edp 90ml,8018365070462,6,92700.0,556200.0,2
Ysl Y Men Intense Edp100ml,3614273898478,6,126900.0,761400.0,2
Ysl Myslf Edp 100ml,3614273852814,6,128700.0,772200.0,2
Ysl Libre Le Parfum 90ml,3614273776127,6,160200.0,961200.0,2
Armani Acqua Di Gio Homme Parfum 100ml,3614273954167,6,141300.0,847800.0,2
Armani Stronger With You He Parfum 100ml,3614274219579,6,164700.0,988200.0,2
Armani Acqua Di Gio Profondo Parfum100ml,3614273953696,6,147150.0,882900.0,2
Armani Code Parfum 125ml,3614273604932,6,141300.0,847800.0,2
D&G The Only One Edp100ml,3423478452657,3,95400.0,286200.0,2
Azzaro The Most Wanted Parfum100ml,3614273638852,12,99900.0,1198800.0,2
Azzaro The Most Wanted Intense Edp 100ml,3614273521307,12,99900.0,1198800.0,2
Lancome Idole Pow er Intense Edp100ml,3614274299229,6,0.0,0.0,3
Narciso Rodriguez For Her Edp 100ml,3423470890129,6,86400.0,518400.0,3
Lancome La Vie Est Belle Rose Ext Edp100,3614274104370,6,147150.0,882900.0,3
Lancome La Vie Est Belle L'Eau Edp 100ml,3605533286555,6,126000.0,756000.0,3
Valentino Uomo Born In Roma Edt 100ml,3614272761469,6,105300.0,631800.0,3
Valentino Uomo Intense Edp 100ml,8411061835555,5,114300.0,571500.0,3
Valentino Donna Born In Roma Int Edp100m,3614273790840,12,141300.0,1695600.0,3
Valentino Uomo Born In Roma Int Edp100ml,3614273790826,12,105300.0,1263600.0,3
Viktor& RolfSpicebomb Extreme P/H Edp 90,3614270659706,12,127800.0,1533600.0,3
Ysl Libre L'Eau Nue Parfum 90ml,3614274241006,6,0.0,0.0,3
Ysl Libre Edp 90ml,3614272648425,6,144000.0,864000.0,3
Ysl Black Opium Glitter Edp 90ml,3614274185294,3,184050.0,552150.0,3
Ysl Libre Intense Edp 90ml,3614273069557,12,150300.0,1803600.0,3
Ysl M7 Oud Absolu Edt 80ml,3365440037281,12,80100.0,961200.0,3
Ysl Y Men Edp 100ml,3614272050358,12,118800.0,1425600.0,3
Ysl Myslf Le Parfum 100ml,3614274114645,6,160200.0,961200.0,3
Zimaya Evolution Edp100ml,6290171072249,12,16650.0,199800.0,3
Zimaya Noor Oud Edp100ml,6290171073642,12,16650.0,199800.0,3
Zimaya Inekas Luna Edp100ml,6290171074793,6,18900.0,113400.0,3
Zimaya Al Embratur Elixir Edp100ml,6290171074960,10,16650.0,166500.0,3
Armaf CDN Man Private key TMD100ml,6294015164992,12,61200.0,734400.0,3
Armaf CDN Private key TML100ml,6294015165012,12,61200.0,734400.0,3
Ysl Black Opium Edp 90ml,3365440787971,4,120600.0,482400.0,3
Ysl Mon Paris Edp 90ml,3614270561634,3,115200.0,345600.0,3
